timestamp_ms,alpha,beta,gamma,a,b,c
1765810699951,357.20000000000005,2.4000000000000004,1.7000000000000002,-35.29143800037932,-87.05919918356632,-57.47294946447449
1765810699967,358.20000000000005,2.4000000000000004,1.7000000000000002,-35.29143800037932,-87.05919918356632,-56.47294946447448
1765810699984,360,2.4000000000000004,1.7000000000000002,-35.29143800037932,-87.05919918356632,-54.67294946447455
1765810700001,1.8,2.4000000000000004,1.6,-33.67116044465645,-87.11581857514628,-54.4953221558857
1765810700017,2.7,2.5,1.6,-32.59934881617003,-87.03210932090094,-54.665736791771884
1765810700034,4.4,2.6,1.4000000000000001,-28.281955180455817,-87.0472632340907,-57.28627279513349
1765810700050,6.1000000000000005,2.6,1.4000000000000001,-28.281955180455817,-87.0472632340907,-55.58627279513349
1765810700067,6.9,2.6,1.4000000000000001,-28.281955180455817,-87.0472632340907,-54.786272795133485
1765810700084,8.5,2.5,1.5,-30.944823552489023,-87.08476898696635,-50.522444462434144
1765810700101,10,2.5,1.5,-30.944823552489023,-87.08476898696635,-49.022444462434144
1765810700117,10.8,2.5,1.5,-30.944823552489023,-87.08476898696635,-48.222444462434154
1765810700134,12.3,2.5,1.3,-27.457532962442183,-87.18238978567193,-50.21409972025197
1765810700152,13.8,2.6,1.2000000000000002,-24.758579794105213,-87.13660840736313,-51.414187401428556
1765810700167,14.5,2.6,1.2000000000000002,-24.758579794105213,-87.13660840736313,-50.71418740142855
1765810700184,15.9,2.6,1.3,-26.547350045620092,-87.09331120049448,-47.523147562400126
1765810700200,16.6,2.6,1.3,-26.547350045620092,-87.09331120049448,-46.82314756240012
1765810700217,18,2.5,1.3,-27.457532962442183,-87.18238978567193,-44.51409972025198
1765810700234,19.400000000000002,2.5,1.2000000000000002,-25.625183825916768,-87.2270798776354,-44.948631124214714
1765810700250,20.1,2.6,1.1,-22.916721884932134,-87.17702828281814,-46.958314856654034
1765810700267,21.6,2.6,1.1,-22.916721884932134,-87.17702828281814,-45.458314856654034
1765810700284,23.200000000000003,2.6,1.2000000000000002,-24.758579794105213,-87.13660840736313,-42.01418740142855
1765810700301,24,2.6,1.2000000000000002,-24.758579794105213,-87.13660840736313,-41.21418740142855
1765810700317,25.6,2.6,1.2000000000000002,-24.758579794105213,-87.13660840736313,-39.614187401428545
